left	right	same_biological_sample	rank	profile_mean_tvd	conditional_evaluable_rank	conditional_evaluable_mean_tvd	structural_tvd	structural_js_distance	structural_hellinger	read_af_selection_tvd	read_af_selection_js_distance	read_af_selection_hellinger	morphology_tvd	morphology_js_distance	morphology_hellinger
HCC1937	HCC1954	false	1	0.109967247328	3	0.099702912972	0.122848345411	0.106604451553	0.088826151509	0.086381472866	0.096833941476	0.081423817985	0.120671923706	0.129315735216	0.107931486511
HCC1395	HCC1395_DORADO	true	2	0.114472675274	2	0.085044160343	0.129343944073	0.140790734821	0.117728158085	0.093513751427	0.151442579256	0.128951474255	0.120560330322	0.143124136132	0.119740994398
HCC1395	HCC1954	false	3	0.132060575021	5	0.125545256530	0.111463156693	0.121108606073	0.101091985319	0.119581927739	0.124909354274	0.104264345706	0.165136640630	0.163127232364	0.136291818920
COLO829	H1437	false	4	0.142358652215	4	0.122364582918	0.114744171210	0.136027218920	0.113702967249	0.218816828934	0.241137502942	0.203670981094	0.093514956501	0.127871384197	0.108360601035
HCC1395_DORADO	HCC1954	false	5	0.162006267813	7	0.149094218975	0.188641418145	0.164852211013	0.137519160902	0.125036307339	0.190013441468	0.162899691600	0.172341077956	0.216134958624	0.182217482621
HCC1395	HCC1937	false	6	0.173833125500	8	0.157827812791	0.201677543640	0.201681086361	0.168879513764	0.194275926969	0.196454782104	0.164601620959	0.125545905890	0.183505627075	0.154526461009
H1437	H2009	false	7	0.204464245553	1	0.067545453528	0.194096672138	0.187984592170	0.157110139466	0.204949476474	0.201698631174	0.168691692019	0.214346588048	0.198656654181	0.166045196878
H1437	HCC1395	false	8	0.206353383736	10	0.166414343584	0.220005989276	0.196481767493	0.164078855869	0.282487540541	0.281272205104	0.237268278778	0.116566621390	0.173899570677	0.146064312107
H1437	HCC1395_DORADO	false	9	0.230202205800	11	0.190313569462	0.335776782704	0.321726497210	0.270773621781	0.270275519181	0.297085382992	0.253839143598	0.084554315516	0.105663205309	0.088174839178
HCC1395_DORADO	HCC1937	false	10	0.232948221416	14	0.221942772685	0.311489763556	0.269653889886	0.225583813669	0.207849077615	0.243555639933	0.206484193797	0.179505823078	0.284966906575	0.242856170615
COLO829	HCC1395_DORADO	false	11	0.240762479078	17	0.238182658982	0.247389072793	0.262328626631	0.221422155661	0.384261007766	0.395491697216	0.336920014929	0.090637356676	0.144859070841	0.123426496988
COLO829	HCC1395	false	12	0.244817877575	19	0.240603725582	0.134878377865	0.138037699564	0.115218813767	0.399733127624	0.425257380807	0.365822063655	0.199842127236	0.267386365841	0.232005576478
H1437	HCC1937	false	13	0.285128645148	13	0.218886008151	0.278988195772	0.305019776733	0.258599468742	0.359093080940	0.375213094188	0.319333469743	0.217304658732	0.336247440404	0.289633509994
COLO829	H2009	false	14	0.290941053555	6	0.143378375917	0.295341262920	0.302066036408	0.255301453273	0.363151421518	0.383667917833	0.327694497571	0.214330476227	0.253393554565	0.216736077099
COLO829	HCC1954	false	15	0.292947207857	20	0.277057539475	0.212844259608	0.222972840592	0.186600747993	0.437608206414	0.422416749559	0.360703152473	0.228389157549	0.342505923649	0.300575586062
H1437	HCC1954	false	16	0.293696051421	16	0.232781051105	0.301231969519	0.283206077667	0.238144135048	0.322960791273	0.320056445412	0.270402665002	0.256895393472	0.294614724148	0.249633206419
COLO829	HCC1937	false	17	0.331319391997	21	0.315810083436	0.262091986476	0.257686880127	0.216111744155	0.473078569524	0.469359541149	0.408634978577	0.258787619991	0.405545563664	0.359407035493
H2009	HCC1395	false	18	0.348116879475	9	0.158411728031	0.348311586840	0.333153115600	0.280956931617	0.397870761824	0.365092033970	0.307845738884	0.298168289763	0.306815726468	0.258895014666
H2009	HCC1395_DORADO	false	19	0.376721648214	12	0.203074847602	0.464082380267	0.418538421782	0.353905716789	0.395291796046	0.378800994795	0.320997739691	0.270790768331	0.277437899685	0.233513080455
H2009	HCC1954	false	20	0.405434439112	15	0.223367719693	0.429537567082	0.424636445286	0.362892352326	0.445374252295	0.437886496187	0.374023659379	0.341391497960	0.411338698976	0.352102978828
H2009	HCC1937	false	21	0.419431808112	18	0.239321880594	0.407293793336	0.456315029081	0.394650210835	0.476304076800	0.486375480361	0.419415921587	0.374697554201	0.447169487494	0.388717720365
