AF_bin	AF_range	n_regions	n_TP	n_FP	baseline_marker_count	baseline_marker_TP	baseline_marker_FP	baseline_marker_rate	V6_marker_count	V6_marker_TP	V6_marker_FP	V6_marker_rate	delta_marker_count	delta_marker_count_pct	delta_marker_rate_pp	delta_F1_proxy
Low	AF<0.10	2152	220	1932	611	108	503	0.176759	895	131	764	0.146369	284	46.481	-3.0391	-0.030391
Mid-Low	0.10≤AF<0.30	10882	8337	2545	6403	5390	1013	0.841793	8212	6940	1272	0.845105	1809	28.252	0.3312	0.003312
Mid-High	0.30≤AF<0.50	10061	9842	219	5142	5075	67	0.98697	7792	7706	86	0.988963	2650	51.536	0.1993	0.001993
High	AF≥0.50	12237	12091	146	3582	3540	42	0.988275	7081	7029	52	0.992656	3499	97.683	0.4382	0.004382
