sample	mode	scheme	n	k_tp	tp_rate	ci_lo	ci_hi	fold_vs_baseline	fp_reduction_vs_baseline
HCC1395	to_pileup	baseline	40115	28509	0.7106817898541693	0.706224386876195	0.7150988449491227	1.0	0.0
HCC1395	to_pileup	S1	292	263	0.9006849315068494	0.8610053988116277	0.9299584142559059	1.2673533279805416	0.656727212424372
HCC1395	to_pileup	S2	0	0					
HCC1395	to_pileup	S3	380	363	0.9552631578947368	0.9295296414923315	0.9718838582429761	1.344150323720487	0.8453714956873485
HCC1395	to_pileup	S4	30432	21652	0.7114879074658255	0.7063710099001896	0.7165514171898502	1.0011342876983265	0.002786266413198955
HCC1395	to_pileup	S5	672	626	0.9315476190476191	0.9098988526490588	0.9482904035316795	1.3107802005715823	0.7634010630790314
HCC1395	to_pileup	S6	253	229	0.9051383399209486	0.862733388475128	0.9354239193753136	1.2736197167886931	0.6721199815551312
HCC1395	to_pileup	S7	412	379	0.9199029126213593	0.889647147465289	0.9424004398852792	1.2943949398367471	0.7231522781152703
HCC1395_DORADO	to_pileup	baseline	40428	28856	0.7137627386959533	0.709336484485121	0.7181483719058875	1.0	0.0
HCC1395_DORADO	to_pileup	S1	3364	2945	0.8754458977407847	0.8638568745230487	0.8861784002951018	1.2265222745309274	0.5648571339322888
HCC1395_DORADO	to_pileup	S2	2	2	1.0	0.34237195288961925	1.0	1.4010257831993347	1.0
HCC1395_DORADO	to_pileup	S3	0	0					
HCC1395_DORADO	to_pileup	S4	13684	9481	0.6928529669687226	0.6850703816969241	0.7005273008478534	0.9707048706893372	-0.0730504883674805
HCC1395_DORADO	to_pileup	S5	3366	2947	0.8755199049316696	0.8639372052028281	0.8862464236063122	1.2266259605134995	0.5651156858432026
HCC1395_DORADO	to_pileup	S6	194	153	0.788659793814433	0.7258896341487556	0.8402198190703852	1.1049327053066917	0.2616607452756564
HCC1395_DORADO	to_pileup	S7	194	153	0.788659793814433	0.7258896341487556	0.8402198190703852	1.1049327053066917	0.2616607452756564
HCC1937	to_pileup	baseline	24655	12623	0.5119853984992903	0.5057445317885492	0.5182225308004738	1.0	0.0
HCC1937	to_pileup	S1	984	809	0.8221544715447154	0.7970230336730854	0.8447802675849302	1.6058162477964792	0.6355733457392752
HCC1937	to_pileup	S2	0	0					
HCC1937	to_pileup	S3	0	0					
HCC1937	to_pileup	S4	9144	4308	0.47112860892388453	0.4609115294759586	0.48136993722543253	0.9201993070599993	-0.08372042444993587
HCC1937	to_pileup	S5	984	809	0.8221544715447154	0.7970230336730854	0.8447802675849302	1.6058162477964792	0.6355733457392752
HCC1937	to_pileup	S6	48	29	0.6041666666666666	0.4631015459693511	0.7297937350404942	1.180046674060577	0.1888903895168438
HCC1937	to_pileup	S7	48	29	0.6041666666666666	0.4631015459693511	0.7297937350404942	1.180046674060577	0.1888903895168438
HCC1954	to_pileup	baseline	67286	17068	0.2536634663971703	0.2503899099084184	0.2569651497593101	1.0	0.0
HCC1954	to_pileup	S1	1489	586	0.39355271994627267	0.3690425133969898	0.41861077815115577	1.5514757624973576	0.1874345516409436
HCC1954	to_pileup	S2	0	0					
HCC1954	to_pileup	S3	79	19	0.24050632911392406	0.1597205688793321	0.34535900466825753	0.9481315245347722	-0.017628960516956282
HCC1954	to_pileup	S4	50161	12267	0.24455254081856423	0.2408106948623483	0.2483335108675867	0.9640826260556545	-0.012207529939107217
HCC1954	to_pileup	S5	1568	605	0.38584183673469385	0.3620536366751817	0.41018804467489817	1.5210776790796	0.17710290785237584
HCC1954	to_pileup	S6	157	76	0.4840764331210191	0.4072221759368422	0.5616913389747231	1.9083411576623441	0.3087252952921441
HCC1954	to_pileup	S7	196	90	0.45918367346938777	0.3908712872467186	0.5290653025323864	1.8102081470038214	0.2753720310060381
H1437	to_pileup	baseline	58915	45473	0.7718407875753204	0.7684344828492631	0.7752116434180938	1.0	0.0
H1437	to_pileup	S1	3803	3334	0.8766763081777544	0.865844083206784	0.8867483020398206	1.1358253182392277	0.4594840571561079
H1437	to_pileup	S2	0	0					
H1437	to_pileup	S3	30	24	0.8	0.6269395261897256	0.9049502189759876	1.0364831878257428	0.12341913405743213
H1437	to_pileup	S4	33975	25890	0.7620309050772627	0.7574732673463881	0.7665292931175919	0.9872902771452715	-0.0429957764747113
H1437	to_pileup	S5	3833	3358	0.8760761805374381	0.8652668466795775	0.8861324292248539	1.135047790477056	0.456853755122985
H1437	to_pileup	S6	270	222	0.8222222222222222	0.7721933869838982	0.8632104377089169	1.065274387487569	0.22081700805105045
H1437	to_pileup	S7	287	235	0.818815331010453	0.770137245414285	0.8590712309522321	1.0608604056578814	0.2058849298081267
H2009	to_pileup	baseline	137695	125706	0.9129307527506445	0.9114300250016494	0.914408440149244	1.0	0.0
H2009	to_pileup	S1	1842	1760	0.9554831704668838	0.9450788139343671	0.9639916068428003	1.0466107835539877	0.4887192557709207
H2009	to_pileup	S2	0	0					
H2009	to_pileup	S3	87	81	0.9310344827586207	0.8576013386151231	0.9680115964278528	1.0198303430500395	0.2079233550294667
H2009	to_pileup	S4	80000	72701	0.9087625	0.9067474557128542	0.9107382886217029	0.9954342070983089	-0.04787284698473523
H2009	to_pileup	S5	1929	1841	0.9543805080352514	0.9441312966435622	0.9628235205540809	1.0454029565328142	0.47605505495987555
H2009	to_pileup	S6	177	170	0.96045197740113	0.9206279337431519	0.9807133505631139	1.0520534821587562	0.545786556697689
H2009	to_pileup	S7	244	231	0.9467213114754098	0.9109911647454165	0.9686028985595332	1.0370132768810285	0.38808832960268247
COLO829	to_pileup	baseline	50617	33089	0.653713179366616	0.6495567033045719	0.6578463249374555	1.0	0.0
COLO829	to_pileup	S1	636	417	0.6556603773584906	0.617896561110226	0.6915550281581181	1.0029786732979151	0.005623078546024438
COLO829	to_pileup	S2	0	0					
COLO829	to_pileup	S3	39	28	0.717948717948718	0.5622438267752261	0.8345667498605671	1.0982625723476156	0.1854980748750716
COLO829	to_pileup	S4	32063	20817	0.6492530330911019	0.6440119787965778	0.6544583264298652	0.9931772122449245	-0.012879919216550371
COLO829	to_pileup	S5	675	445	0.6592592592592592	0.6226923069631023	0.6940236986558814	1.0084839652430089	0.016015856111702524
