RegionID	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip	PermanovaValid_maxdist	PermanovaValid_skip
144	112	157	Strong	Strong	False	True	0	1	0.01	0.01	True	True
146	145	116	Strong	Strong	False	True	0	0.4638	0.01	0.01	True	True
150	110	147	Weak	Strong	False	False	0	0	1	0.01	False	True
151	82	144	Weak	Strong	False	False	0	0	1	0.01	False	True
152	100	157	Weak	Strong	False	False	0	0	1	0.01	False	True
154	120	103	Weak	Strong	False	True	0	0.9231	1	0.01	False	True
155	107	114	Strong	Strong	False	True	0	0.6693	0.01	0.01	True	True
156	112	126	Weak	Strong	False	False	0	0	1	0.01	False	True
157	132	120	Weak	Strong	False	False	0	0	1	0.01	False	True
159	125	147	Strong	Weak	False	False	0	0	0.01	1	True	False
160	132	113	Weak	Strong	False	False	0	0	1	0.01	False	True
161	114	122	Weak	Strong	False	False	0	0	1	0.01	False	True
164	158	90	Weak	Noise	False	False	0	0	1	1	False	False
165	142	99	Weak	Noise	False	False	0	0	1	1	False	False
168	114	223	Weak	Strong	False	False	0	0	1	0.01	False	True
169	105	164	Weak	Strong	False	False	0	0	1	0.01	False	True
171	127	180	Weak	Strong	False	False	0	0	1	0.01	False	True
172	119	143	Strong	Strong	False	True	0	0.6176	0.01	0.01	True	True
174	107	136	Strong	Strong	False	True	0	1	0.01	0.01	True	True
175	123	102	Weak	Strong	False	True	0	1	1	0.01	False	True
176	99	117	Weak	Strong	False	True	0	0.9021	1	0.01	False	True
177	106	125	Weak	Strong	False	False	0	0	1	0.01	False	True
178	116	100	Weak	Noise	False	False	0	0	1	1	False	False
179	128	131	Weak	Strong	False	False	0	0	1	0.01	False	True
185	141	175	Strong	Strong	False	True	0	0.9527	0.01	0.01	True	True
186	145	110	Weak	Strong	False	True	0	0.9756	1	0.01	False	True
187	149	137	Weak	Strong	False	True	0	0.5676	0.01	0.01	True	True
190	117	156	Weak	Strong	False	False	0.0931	0	1	0.01	False	True
192	119	170	Strong	Strong	False	True	0	0.5501	0.01	0.01	True	True
193	113	131	Weak	Strong	False	False	0	0	1	0.01	False	True
194	133	317	Weak	Strong	False	True	0	0.3444	1	0.01	False	True
196	136	208	Weak	Strong	False	False	0	0	1	0.01	False	True
197	124	89	Weak	Strong	False	False	0	0	1	0.01	False	True
199	151	134	Weak	Strong	False	False	0	0	1	0.01	False	True
201	125	156	Strong	Weak	True	False	0.1455	0	0.01	1	True	False
202	107	349	Weak	Strong	False	True	0	0.6177	1	0.01	False	True
205	105	175	Strong	Weak	False	False	0	0	0.01	1	True	False
207	115	130	Weak	Strong	False	False	0	0	1	0.01	False	True
210	100	241	Weak	Strong	False	False	0	0	1	0.01	False	True
211	98	111	Weak	Strong	False	True	0	1	1	0.01	False	True
213	147	147	Weak	Strong	False	True	0	0.9522	1	0.01	False	True
215	126	208	Weak	Strong	False	False	0	0	1	0.01	False	True
220	131	125	Weak	Noise	False	False	0	0	1	1	False	False
221	118	180	Strong	Weak	False	False	0	0	0.01	1	True	False
222	147	129	Weak	Noise	False	False	0	0	1	1	False	False
224	153	109	Strong	Weak	False	False	0	0	0.01	1	True	False
226	118	92	Weak	Noise	False	False	0	0	1	1	False	False
227	104	322	Strong	Strong	False	True	0	0.9684	0.01	0.01	True	True
229	128	90	Weak	Strong	False	True	0	1	1	0.01	False	True
230	119	109	Weak	Strong	False	True	0	0.5984	1	0.01	False	True
231	110	144	Weak	Strong	False	True	0	0.9703	1	0.01	False	True
233	83	110	Weak	Strong	False	False	0	0	0.01	0.01	True	True
234	127	92	Strong	Strong	False	True	0	0.9447	0.01	0.01	True	True
235	102	111	Strong	Strong	False	True	0	0.9251	0.01	0.01	True	True
236	133	65	Weak	Strong	False	True	0	0.3822	1	0.01	False	True
237	158	72	Weak	Strong	False	True	0	0.9219	1	0.01	False	True
238	91	96	Weak	Strong	False	False	0	0	1	0.01	False	True
239	124	42	Weak	Strong	False	True	0	0.9764	1	0.01	False	True
240	141	46	Strong	Strong	False	True	0	0.2684	0.01	0.01	True	True
241	124	192	Weak	Strong	False	False	0	0	1	0.01	False	True
245	144	159	Noise	Weak	False	False	0	0	1	0.01	False	True
247	137	189	Weak	Strong	False	False	0	0	1	0.01	False	True
248	120	178	Weak	Strong	False	False	0	0	1	0.01	False	True
249	137	219	Weak	Strong	False	False	0	0	1	0.01	False	True
250	147	198	Weak	Strong	False	True	0	0.4955	1	0.01	False	True
251	135	119	Noise	Weak	False	False	0	0	1	1	False	False
254	156	194	Strong	Strong	False	True	0	0.3536	0.01	0.01	True	True
255	119	211	Weak	Strong	False	True	0	1	1	0.01	False	True
256	109	91	Weak	Strong	False	True	0	0.6231	1	0.01	False	True
258	116	65	Weak	Strong	False	True	0	0.9402	1	0.01	False	True
259	139	127	Weak	Strong	False	False	0	0	1	0.01	False	True
260	135	127	Weak	Strong	False	False	0	0	1	0.01	False	True
261	124	81	Weak	Strong	False	False	0	0	1	0.01	False	True
262	109	69	Weak	Strong	False	False	0	0	1	0.01	False	True
263	103	82	Weak	Strong	False	False	0	0	1	0.01	False	True
265	102	92	Weak	Strong	False	True	0	0.9362	1	0.01	False	True
266	109	86	Weak	Strong	False	False	0	0	0.01	0.01	True	True
267	103	101	Weak	Strong	False	True	0	0.75	1	0.01	False	True
269	107	99	Weak	Strong	False	False	0	0	1	0.01	False	True
270	130	84	Weak	Strong	False	False	0	0	1	0.01	False	True
272	145	93	Weak	Strong	False	False	0	0	1	0.01	False	True
273	119	110	Weak	Strong	False	False	0	0	1	0.01	False	True
274	123	133	Weak	Noise	False	False	0	0	1	1	False	False
278	121	63	Weak	Strong	False	False	0	0	1	0.01	False	True
