sample	phase	rule_rank	rule_id	rule_label	tp_removed	fp_removed	tp_total_before	fp_total_before	tp_after	fp_after	precision_after	recall_after	f1_after	delta_f1_vs_final
HCC1395	discovery	33	af_le_0.08_ad_ge_0.20_cv_le_0.03	AF<=0.08 and AlleleDelta>=0.20 and CramersV<=0.03	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	34	af_le_0.08_ad_ge_0.20_cv_le_0.05	AF<=0.08 and AlleleDelta>=0.20 and CramersV<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	35	af_le_0.08_ad_ge_0.20_cv_le_0.10	AF<=0.08 and AlleleDelta>=0.20 and CramersV<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	36	af_le_0.08_ad_ge_0.25_cv_le_0.03	AF<=0.08 and AlleleDelta>=0.25 and CramersV<=0.03	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	37	af_le_0.08_ad_ge_0.25_cv_le_0.05	AF<=0.08 and AlleleDelta>=0.25 and CramersV<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	38	af_le_0.08_ad_ge_0.25_cv_le_0.10	AF<=0.08 and AlleleDelta>=0.25 and CramersV<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	39	af_le_0.10_ad_ge_0.15_cv_le_0.03	AF<=0.10 and AlleleDelta>=0.15 and CramersV<=0.03	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	40	af_le_0.10_ad_ge_0.15_cv_le_0.05	AF<=0.10 and AlleleDelta>=0.15 and CramersV<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	41	af_le_0.10_ad_ge_0.15_cv_le_0.10	AF<=0.10 and AlleleDelta>=0.15 and CramersV<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	42	af_le_0.10_ad_ge_0.20_cv_le_0.03	AF<=0.10 and AlleleDelta>=0.20 and CramersV<=0.03	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	43	af_le_0.10_ad_ge_0.20_cv_le_0.05	AF<=0.10 and AlleleDelta>=0.20 and CramersV<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	44	af_le_0.10_ad_ge_0.20_cv_le_0.10	AF<=0.10 and AlleleDelta>=0.20 and CramersV<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	45	af_le_0.10_ad_ge_0.25_cv_le_0.03	AF<=0.10 and AlleleDelta>=0.25 and CramersV<=0.03	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	46	af_le_0.10_ad_ge_0.25_cv_le_0.05	AF<=0.10 and AlleleDelta>=0.25 and CramersV<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	47	af_le_0.10_ad_ge_0.25_cv_le_0.10	AF<=0.10 and AlleleDelta>=0.25 and CramersV<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	48	af_le_0.05_ad_ge_0.15_pairwise_le_0.05	AF<=0.05 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	49	af_le_0.05_ad_ge_0.15_pairwise_le_0.10	AF<=0.05 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	50	af_le_0.05_ad_ge_0.15_pairwise_le_0.15	AF<=0.05 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	51	af_le_0.05_ad_ge_0.15_pairwise_le_0.20	AF<=0.05 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	52	af_le_0.05_ad_ge_0.20_pairwise_le_0.05	AF<=0.05 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	53	af_le_0.05_ad_ge_0.20_pairwise_le_0.10	AF<=0.05 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	54	af_le_0.05_ad_ge_0.20_pairwise_le_0.15	AF<=0.05 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	55	af_le_0.05_ad_ge_0.20_pairwise_le_0.20	AF<=0.05 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	56	af_le_0.05_ad_ge_0.25_pairwise_le_0.05	AF<=0.05 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	57	af_le_0.05_ad_ge_0.25_pairwise_le_0.10	AF<=0.05 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	58	af_le_0.05_ad_ge_0.25_pairwise_le_0.15	AF<=0.05 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	59	af_le_0.05_ad_ge_0.25_pairwise_le_0.20	AF<=0.05 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	60	af_le_0.08_ad_ge_0.15_pairwise_le_0.05	AF<=0.08 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	61	af_le_0.08_ad_ge_0.15_pairwise_le_0.10	AF<=0.08 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	62	af_le_0.08_ad_ge_0.15_pairwise_le_0.15	AF<=0.08 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	63	af_le_0.08_ad_ge_0.15_pairwise_le_0.20	AF<=0.08 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	64	af_le_0.08_ad_ge_0.20_pairwise_le_0.05	AF<=0.08 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	65	af_le_0.08_ad_ge_0.20_pairwise_le_0.10	AF<=0.08 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	66	af_le_0.08_ad_ge_0.20_pairwise_le_0.15	AF<=0.08 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	67	af_le_0.08_ad_ge_0.20_pairwise_le_0.20	AF<=0.08 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	68	af_le_0.08_ad_ge_0.25_pairwise_le_0.05	AF<=0.08 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	69	af_le_0.08_ad_ge_0.25_pairwise_le_0.10	AF<=0.08 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	70	af_le_0.08_ad_ge_0.25_pairwise_le_0.15	AF<=0.08 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	71	af_le_0.08_ad_ge_0.25_pairwise_le_0.20	AF<=0.08 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	72	af_le_0.10_ad_ge_0.15_pairwise_le_0.05	AF<=0.10 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	73	af_le_0.10_ad_ge_0.15_pairwise_le_0.10	AF<=0.10 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	74	af_le_0.10_ad_ge_0.15_pairwise_le_0.15	AF<=0.10 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	75	af_le_0.10_ad_ge_0.15_pairwise_le_0.20	AF<=0.10 and AlleleDelta>=0.15 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	76	af_le_0.10_ad_ge_0.20_pairwise_le_0.05	AF<=0.10 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	77	af_le_0.10_ad_ge_0.20_pairwise_le_0.10	AF<=0.10 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
