sample	side	af_b	cn_t	n	TP_rate	HP_Ratio_AUC	HP_Ratio_med	is_high_AUC
HCC1937	Inner	NearHalf	Loss	103	0.874	0.658	1.0	True
HCC1937	Inner	NearHalf	Sub	703	0.846	0.826	1.0	True
HCC1937	Inner	NearHalf	Diploid	849	0.808	0.815	1.0	True
HCC1937	Inner	NearHalf	Gain	358	0.662	0.751	1.0	True
HCC1937	Inner	NearHalf	High	211	0.294	0.568	0.077	False
HCC1937	Inner	Inter_hi	Loss	108	0.769	0.53	1.0	False
HCC1937	Inner	Inter_hi	Sub	338	0.787	0.708	1.0	True
HCC1937	Inner	Inter_hi	Diploid	255	0.647	0.755	1.0	True
HCC1937	Inner	Inter_hi	Gain	255	0.467	0.753	1.0	True
HCC1937	Inner	Inter_hi	High	106	0.151	0.635	0.065	False
HCC1937	Inner	Extr_hi	Loss	1403	0.325	0.501	1.0	False
HCC1937	Inner	Extr_hi	Sub	2677	0.23	0.506	1.0	False
HCC1937	Inner	Extr_hi	Diploid	2018	0.193	0.51	1.0	False
HCC1937	Inner	Extr_hi	Gain	898	0.188	0.511	1.0	False
HCC1937	Inner	Extr_hi	High	127	0.126	0.508	1.0	False
HCC1937	Outer	Extr_lo	Diploid	33	1.0		0.509	False
HCC1937	Outer	Extr_lo	Gain	37	0.892	0.667	0.398	True
HCC1937	Outer	Extr_lo	High	86	0.977	0.625	0.401	False
HCC1937	Outer	Inter_lo	Loss	74	0.446	0.559	0.416	False
HCC1937	Outer	Inter_lo	Sub	684	0.558	0.627	0.388	False
HCC1937	Outer	Inter_lo	Diploid	1012	0.63	0.523	0.398	False
HCC1937	Outer	Inter_lo	Gain	1419	0.63	0.545	0.385	False
HCC1937	Outer	Inter_lo	High	1144	0.725	0.508	0.421	False
HCC1937	Outer	NearHalf	Loss	68	0.235	0.658	0.473	True
HCC1937	Outer	NearHalf	Sub	736	0.318	0.504	0.488	False
HCC1937	Outer	NearHalf	Diploid	1224	0.376	0.527	0.487	False
HCC1937	Outer	NearHalf	Gain	751	0.316	0.554	0.48	False
HCC1937	Outer	NearHalf	High	609	0.279	0.53	0.51	False
HCC1937	Outer	Inter_hi	Loss	39	0.487	0.557	0.377	False
HCC1937	Outer	Inter_hi	Sub	367	0.316	0.536	0.36	False
HCC1937	Outer	Inter_hi	Diploid	439	0.257	0.542	0.359	False
HCC1937	Outer	Inter_hi	Gain	529	0.204	0.503	0.351	False
HCC1937	Outer	Inter_hi	High	292	0.086	0.59	0.322	False
HCC1954	Inner	Extr_lo	Gain	36	0.611	0.688	0.095	True
HCC1954	Inner	Extr_lo	High	47	0.681	0.576	0.089	False
HCC1954	Inner	Inter_lo	Loss	218	0.601	0.5	0.0	False
HCC1954	Inner	Inter_lo	Sub	1778	0.578	0.617	0.0	False
HCC1954	Inner	Inter_lo	Diploid	1988	0.552	0.628	0.0	False
HCC1954	Inner	Inter_lo	Gain	1151	0.52	0.595	0.03	False
HCC1954	Inner	Inter_lo	High	505	0.497	0.601	0.901	False
HCC1954	Inner	NearHalf	Loss	186	0.495	0.652	0.016	True
HCC1954	Inner	NearHalf	Sub	961	0.226	0.643	0.0	False
HCC1954	Inner	NearHalf	Diploid	1148	0.199	0.59	0.0	False
HCC1954	Inner	NearHalf	Gain	452	0.217	0.551	0.023	False
HCC1954	Inner	NearHalf	High	169	0.166	0.568	0.061	False
HCC1954	Inner	Inter_hi	Loss	126	0.222	0.693	0.0	True
HCC1954	Inner	Inter_hi	Sub	918	0.074	0.717	0.0	True
