subsample	purity	has_somatic_vcf	has_longphase_dir	has_tagged_bam	has_intersubmod_tp_summary	has_intersubmod_fp_summary	has_metrics_json	note
t00_n25	0	False	False	False	False	False	False	missing_somatic_vcf
t10_n40	20	True	True	True	True	True	True	intersubmod_no_regions
t20_n30	40	True	True	True	True	True	True	intersubmod_no_regions
t30_n20	60	True	True	True	True	True	True	intersubmod_no_regions
t40_n10	80	True	True	True	True	True	True	intersubmod_no_regions
t50_n00	100	True	True	True	True	True	True	intersubmod_no_regions
